,neurotocism_score,extroversion_score,openness_score,agreeableness_score,conscientiousness_score,impulsiveness_score,sens_seeking_score,alc_consumption
840,-0.58016,-0.15487,0.88309,-0.45321,-1.25773,1.86203,0.7654,CurrentUse
861,0.04257,-0.15487,-0.17779,-0.60633,-0.40581,1.86203,1.2247,CurrentUse
874,0.73545,0.32197,1.43533,-0.01729,-0.78155,1.86203,1.92173,CurrentUse
876,-0.92104,0.47617,0.7233,0.43852,-2.18109,1.86203,1.92173,CurrentUse
880,1.60383,-1.09207,0.29338,-0.60633,-0.78155,1.86203,0.40148,CurrentUse
897,1.8399,-0.30033,-0.45174,-0.45321,-1.0145,1.86203,1.92173,CurrentUse
909,1.37297,0.47617,1.06238,-0.91699,-1.78169,1.86203,1.2247,CurrentUse
914,2.28554,-2.5383,-0.58331,-2.21844,-3.15735,1.86203,1.2247,CurrentUse
918,0.22393,1.45421,2.15324,-0.30172,-1.0145,1.86203,1.92173,CurrentUse
933,-1.32828,1.11406,1.24033,0.28783,-0.78155,1.86203,1.92173,CurrentUse
950,0.41667,0.16767,0.29338,-0.30172,-0.27607,1.86203,0.7654,CurrentUse
953,1.8399,-0.57545,-0.01928,-1.47955,-2.90161,1.86203,1.2247,CurrentUse
959,0.31287,0.96248,1.06238,0.28783,-0.27607,1.86203,1.92173,CurrentUse
989,0.31287,1.74091,0.29338,-0.76096,-1.78169,1.86203,1.92173,CurrentUse
1012,-0.79151,2.127,0.88309,0.43852,-0.65253,1.86203,1.92173,CurrentUse
1040,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,1.86203,0.7654,CurrentUse
1107,1.13281,1.11406,1.06238,-0.15487,-0.52745,1.86203,1.92173,CurrentUse
1130,2.28554,0.80523,0.7233,-2.07848,-1.78169,1.86203,1.92173,CurrentUse
1133,0.41667,1.2861,-1.11902,-0.91699,-0.52745,1.86203,0.40148,CurrentUse
1137,0.52135,-1.23177,0.44585,-3.15735,-0.52745,1.86203,1.2247,CurrentUse
1164,-0.34799,-0.57545,0.88309,0.76096,-1.78169,1.86203,1.92173,CurrentUse
1173,0.31287,-0.80615,-0.01928,-0.91699,1.13407,1.86203,1.92173,CurrentUse
1177,2.127,0.47617,1.88511,-2.78793,-1.25773,1.86203,1.92173,CurrentUse
1185,-1.05308,0.63779,0.29338,0.59042,-0.78155,1.86203,0.40148,CurrentUse
1191,1.60383,-1.50796,0.44585,0.43852,-1.13788,1.86203,1.2247,CurrentUse
1247,-0.46725,-0.15487,1.43533,-0.01729,0.93949,1.86203,0.7654,CurrentUse
1259,1.49158,-0.57545,1.06238,1.11406,-0.78155,1.86203,0.07987,CurrentUse
1281,0.82562,-2.03972,0.44585,-1.21213,-1.92173,1.86203,1.2247,CurrentUse
1289,-0.24649,0.80523,0.29338,-0.30172,0.12331,1.86203,1.2247,CurrentUse
1311,-1.32828,2.32338,-2.39883,-1.47955,-1.38502,1.86203,1.2247,CurrentUse
1338,-0.58016,3.27393,2.15324,-0.60633,0.93949,1.86203,1.2247,CurrentUse
1347,-1.05308,2.57309,0.29338,-1.21213,-1.25773,1.86203,0.7654,CurrentUse
1368,2.46262,0.16767,0.14143,-1.21213,-1.5184,1.86203,1.92173,CurrentUse
1389,-0.46725,2.127,1.88511,-0.60633,-1.25773,1.86203,1.92173,CurrentUse
1429,1.23461,1.11406,-0.58331,-2.21844,-0.65253,1.86203,0.40148,CurrentUse
1434,-0.79151,-0.57545,0.29338,0.28783,-1.13788,1.86203,0.40148,CurrentUse
1472,1.02119,-0.69509,-0.84732,-1.21213,0.7583,1.86203,1.2247,CurrentUse
1476,-0.92104,1.45421,1.65653,-0.01729,-0.52745,1.86203,1.92173,CurrentUse
1487,-0.46725,-0.43999,-0.17779,-1.772,-1.25773,1.86203,1.92173,CurrentUse
1493,0.91093,-3.27393,-0.45174,-1.47955,-1.78169,1.86203,0.7654,CurrentUse
1499,0.62967,0.16767,0.58331,-2.07848,-0.00665,1.86203,-0.21575,CurrentUse
1513,1.02119,-0.43999,-0.01928,-1.34289,-1.13788,1.86203,1.2247,CurrentUse
1514,-0.79151,1.93886,1.65653,-1.07533,-0.40581,1.86203,1.92173,CurrentUse
1515,0.62967,-1.37639,1.43533,-0.91699,-0.52745,1.86203,0.7654,CurrentUse
1521,0.82562,2.127,1.88511,0.13136,-0.65253,1.86203,1.92173,CurrentUse
1524,0.52135,1.2861,1.24033,-0.45321,-0.52745,1.86203,0.7654,CurrentUse
1601,-0.05188,2.8595,1.88511,0.94156,-0.89891,1.86203,1.2247,CurrentUse
1662,0.04257,0.47617,0.44585,0.76096,-0.14277,1.86203,1.2247,CurrentUse
1664,0.04257,0.96248,1.65653,-0.60633,0.12331,1.86203,1.2247,CurrentUse
1698,1.37297,-0.94779,2.15324,-1.772,-1.92173,1.86203,0.40148,CurrentUse
1787,0.04257,-0.15487,2.44904,-1.07533,-1.5184,1.86203,1.92173,CurrentUse
1816,0.13606,0.63779,0.58331,-0.60633,-0.14277,1.86203,0.7654,CurrentUse
1868,1.13281,-0.43999,0.29338,-0.76096,-0.14277,1.86203,-0.21575,CurrentUse
13,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,CurrentUse
55,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,CurrentUse
124,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,CurrentUse
137,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987,CurrentUse
172,-0.34799,0.96248,2.15324,0.76096,-0.78155,1.29221,1.92173,CurrentUse
223,-0.24649,0.63779,0.7233,1.11406,0.25953,1.29221,1.2247,CurrentUse
228,0.22393,0.96248,-0.97631,-0.60633,0.58489,1.29221,0.40148,CurrentUse
333,-1.32828,-0.43999,-0.97631,0.13136,0.12331,1.29221,-0.21575,CurrentUse
359,-0.58016,1.58487,0.58331,0.13136,0.41594,1.29221,1.92173,CurrentUse
371,1.02119,2.32338,1.65653,-1.34289,0.41594,1.29221,1.92173,CurrentUse
381,-0.34799,-0.57545,-1.11902,-0.91699,-0.78155,1.29221,-0.52593,CurrentUse
397,0.13606,0.47617,-0.84732,-1.47955,0.41594,1.29221,1.2247,CurrentUse
405,0.13606,1.58487,1.88511,1.2861,-0.00665,1.29221,0.7654,CurrentUse
417,-0.79151,0.96248,0.14143,-1.07533,-0.65253,1.29221,1.92173,CurrentUse
446,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,1.29221,0.07987,CurrentUse
447,1.13281,1.45421,1.06238,-1.772,-0.89891,1.29221,1.2247,CurrentUse
464,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,CurrentUse
477,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,CurrentUse
491,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,CurrentUse
544,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,1.29221,-0.21575,CurrentUse
558,-0.46725,-0.15487,-0.58331,0.94156,-0.14277,1.29221,1.2247,CurrentUse
593,-0.34799,-0.57545,-0.58331,-1.21213,-0.65253,1.29221,0.7654,CurrentUse
620,0.52135,-1.37639,-0.45174,1.45039,-1.78169,1.29221,0.40148,CurrentUse
644,0.04257,-0.30033,-0.31776,-0.76096,-0.40581,1.29221,-0.52593,CurrentUse
647,1.13281,0.16767,1.06238,2.03972,-1.0145,1.29221,1.92173,CurrentUse
649,-0.46725,2.127,2.44904,1.61108,0.12331,1.29221,0.40148,CurrentUse
652,-0.67825,0.63779,-0.01928,0.13136,-0.00665,1.29221,0.40148,CurrentUse
655,1.23461,-0.57545,0.29338,-1.21213,-1.13788,1.29221,0.40148,CurrentUse
658,-0.79151,1.45421,1.88511,-0.91699,-0.40581,1.29221,0.40148,CurrentUse
683,0.91093,-0.69509,1.24033,-1.21213,-1.5184,1.29221,1.92173,CurrentUse
699,0.91093,0.16767,0.44585,-0.91699,0.12331,1.29221,1.2247,CurrentUse
728,-0.58016,0.32197,0.14143,-0.60633,0.12331,1.29221,0.7654,CurrentUse
734,0.22393,2.127,2.44904,1.61108,-0.65253,1.29221,1.2247,CurrentUse
743,-0.92104,0.16767,-0.01928,0.59042,-1.5184,1.29221,-0.21575,CurrentUse
755,2.28554,-0.43999,-0.17779,0.76096,-2.18109,1.29221,0.40148,CurrentUse
766,-0.34799,0.63779,0.14143,-0.30172,0.7583,1.29221,-0.52593,CurrentUse
785,0.82562,-0.57545,0.14143,-0.76096,0.12331,1.29221,0.07987,CurrentUse
788,-0.14882,-0.43999,0.88309,-0.60633,-0.78155,1.29221,0.7654,CurrentUse
789,0.62967,-0.15487,0.58331,-1.6209,-0.14277,1.29221,1.92173,CurrentUse
791,0.04257,2.127,-0.31776,-0.60633,-0.00665,1.29221,0.07987,CurrentUse
811,1.13281,-0.69509,-0.01928,-1.34289,-0.89891,1.29221,1.2247,CurrentUse
822,0.04257,-0.30033,-0.17779,-2.07848,-2.04506,1.29221,1.2247,CurrentUse
837,-1.69163,1.74091,0.58331,0.43852,0.93949,1.29221,0.07987,CurrentUse
838,0.73545,0.00332,2.15324,0.13136,-1.5184,1.29221,0.7654,CurrentUse
847,0.52135,0.63779,1.06238,-1.07533,-0.40581,1.29221,1.2247,CurrentUse
853,-0.34799,0.16767,-0.01928,-0.15487,-1.0145,1.29221,0.7654,CurrentUse
860,0.62967,0.80523,1.06238,-0.45321,-1.78169,1.29221,0.7654,CurrentUse
878,1.23461,0.00332,-0.31776,-0.15487,-0.14277,1.29221,0.7654,CurrentUse
892,1.02119,-1.50796,0.29338,-3.00537,-1.5184,1.29221,1.92173,CurrentUse
919,-0.24649,-0.30033,-0.71727,-0.76096,0.12331,1.29221,0.07987,CurrentUse
945,2.127,-1.37639,0.14143,-0.30172,-1.64101,1.29221,-0.21575,CurrentUse
966,-0.24649,0.16767,1.88511,1.45039,-0.40581,1.29221,1.2247,CurrentUse
976,-0.58016,1.45421,-1.27553,1.61108,-0.40581,1.29221,1.2247,CurrentUse
985,1.72012,0.63779,0.44585,-1.34289,-2.18109,1.29221,1.2247,CurrentUse
987,-0.79151,0.00332,0.14143,-1.07533,-0.27607,1.29221,1.2247,CurrentUse
998,1.23461,-1.09207,-0.31776,-0.15487,-0.65253,1.29221,0.7654,CurrentUse
999,-0.05188,0.96248,-1.27553,-2.35413,-0.89891,1.29221,1.92173,CurrentUse
1003,0.82562,-1.50796,-1.82919,-0.01729,-1.64101,1.29221,1.2247,CurrentUse
1022,-0.67825,-0.30033,1.06238,-1.07533,-2.42317,1.29221,0.7654,CurrentUse
1026,0.62967,0.32197,-0.45174,-0.01729,0.58489,1.29221,1.2247,CurrentUse
1034,0.52135,0.80523,0.88309,-0.15487,-0.27607,1.29221,1.2247,CurrentUse
1043,0.73545,1.2861,1.43533,0.94156,-0.89891,1.29221,1.2247,CurrentUse
1044,1.37297,1.2861,1.88511,-2.5383,-1.25773,1.29221,1.2247,CurrentUse
1051,1.23461,-0.57545,-1.55521,-1.92595,-2.04506,1.29221,1.92173,CurrentUse
1060,1.23461,1.93886,1.65653,-0.15487,-0.52745,1.29221,1.2247,CurrentUse
1090,0.62967,1.45421,-0.17779,2.46262,-0.52745,1.29221,0.40148,CurrentUse
1111,0.41667,-0.43999,0.58331,0.28783,-1.25773,1.29221,0.07987,CurrentUse
1115,0.91093,0.00332,1.24033,-0.15487,-1.38502,1.29221,0.40148,CurrentUse
1123,-1.05308,0.00332,-2.39883,0.43852,-0.00665,1.29221,0.07987,CurrentUse
1129,0.41667,0.16767,-0.17779,-0.01729,-1.92173,1.29221,0.7654,CurrentUse
1156,0.62967,1.93886,1.88511,0.43852,-0.40581,1.29221,0.7654,CurrentUse
1176,-0.46725,0.32197,0.14143,1.61108,0.12331,1.29221,0.40148,CurrentUse
1188,-1.1943,1.45421,0.44585,-0.60633,-0.00665,1.29221,0.40148,CurrentUse
1200,0.31287,0.96248,1.88511,-0.76096,-0.65253,1.29221,1.92173,CurrentUse
1204,-1.05308,-0.57545,-0.01928,-2.07848,-1.38502,1.29221,0.40148,CurrentUse
1213,0.73545,0.47617,-1.42424,-0.91699,0.12331,1.29221,0.7654,CurrentUse
1221,-0.24649,0.63779,0.29338,-0.45321,-0.00665,1.29221,1.2247,CurrentUse
1229,1.02119,-1.23177,1.06238,-2.07848,-0.52745,1.29221,1.2247,CurrentUse
1264,1.8399,-0.94779,-0.31776,-1.772,-2.04506,1.29221,1.92173,CurrentUse
1275,-0.05188,1.45421,2.15324,-0.91699,-0.52745,1.29221,1.2247,CurrentUse
1283,-1.86962,1.93886,2.90161,0.76096,0.25953,1.29221,1.2247,CurrentUse
1290,1.8399,-1.09207,0.44585,-1.6209,-1.25773,1.29221,1.2247,CurrentUse
1302,-0.46725,0.80523,1.65653,0.94156,-1.38502,1.29221,0.40148,CurrentUse
1318,0.82562,0.96248,-0.17779,-0.30172,-0.27607,1.29221,0.7654,CurrentUse
1324,-0.92104,0.32197,1.43533,-0.30172,-0.40581,1.29221,1.92173,CurrentUse
1332,-2.52197,0.32197,0.7233,2.46262,-0.00665,1.29221,0.7654,CurrentUse
1337,1.72012,-1.92173,-0.31776,-0.45321,-2.72827,1.29221,1.2247,CurrentUse
1353,-0.14882,0.32197,0.58331,0.94156,-0.00665,1.29221,0.7654,CurrentUse
1362,0.82562,0.63779,-0.84732,-1.07533,-1.38502,1.29221,0.7654,CurrentUse
1364,0.13606,-0.30033,-0.01928,-1.772,-2.18109,1.29221,0.40148,CurrentUse
1381,-0.67825,0.32197,0.44585,0.76096,0.12331,1.29221,1.92173,CurrentUse
1386,0.62967,0.47617,0.44585,-0.60633,-0.89891,1.29221,0.40148,CurrentUse
1388,0.82562,0.32197,-0.58331,-0.01729,-0.14277,1.29221,0.40148,CurrentUse
1422,0.62967,-0.57545,-0.31776,-0.45321,-1.13788,1.29221,0.7654,CurrentUse
1424,0.31287,0.32197,-0.17779,-0.15487,-0.00665,1.29221,0.40148,CurrentUse
1473,2.46262,-1.92173,-0.58331,-2.35413,-2.30408,1.29221,1.2247,CurrentUse
1486,0.73545,0.00332,-0.17779,-1.07533,0.58489,1.29221,-0.52593,CurrentUse
1490,1.49158,-0.57545,-0.71727,-0.45321,-1.5184,1.29221,0.7654,CurrentUse
1491,-0.14882,-0.30033,0.58331,0.13136,-0.27607,1.29221,1.2247,CurrentUse
1492,2.127,-0.94779,-0.45174,-0.30172,-1.64101,1.29221,0.07987,CurrentUse
1502,-0.46725,0.00332,-0.31776,0.13136,-0.52745,1.29221,1.2247,CurrentUse
1519,1.37297,-1.6334,1.06238,-0.91699,-1.38502,1.29221,0.7654,CurrentUse
1525,0.91093,0.00332,1.06238,-1.21213,-1.5184,1.29221,0.40148,CurrentUse
1526,-1.86962,1.93886,0.58331,-1.47955,0.12331,1.29221,1.92173,CurrentUse
1527,-1.55078,0.96248,1.65653,-0.01729,-0.14277,1.29221,0.7654,CurrentUse
1537,1.13281,-0.69509,0.88309,0.94156,-0.89891,1.29221,0.7654,CurrentUse
1541,-0.14882,-0.43999,-0.71727,-0.76096,-1.64101,1.29221,0.7654,CurrentUse
1552,-0.05188,-2.32338,-0.84732,-1.772,-0.40581,1.29221,-0.21575,CurrentUse
1593,-0.58016,1.74091,0.88309,-0.01729,-0.27607,1.29221,0.7654,CurrentUse
1630,1.60383,0.16767,-0.45174,-0.01729,1.81175,1.29221,1.92173,CurrentUse
1648,0.04257,1.58487,1.24033,1.2861,0.58489,1.29221,0.40148,CurrentUse
1656,-0.14882,0.80523,2.44904,0.43852,-0.00665,1.29221,1.2247,CurrentUse
1692,-0.92104,-0.30033,-0.01928,-0.30172,-0.40581,1.29221,-0.21575,CurrentUse
1699,1.98437,-0.80615,2.15324,0.76096,-0.00665,1.29221,1.92173,CurrentUse
1709,0.04257,1.74091,0.58331,0.13136,-0.14277,1.29221,1.2247,CurrentUse
1720,-0.05188,1.11406,0.7233,0.94156,1.81175,1.29221,0.7654,CurrentUse
1749,1.98437,0.63779,1.43533,-1.07533,-0.65253,1.29221,1.2247,CurrentUse
1781,1.23461,-0.80615,-0.84732,-1.07533,-0.89891,1.29221,1.92173,CurrentUse
1795,0.31287,-0.15487,1.88511,0.28783,-1.5184,1.29221,0.7654,CurrentUse
1800,-0.79151,0.47617,1.43533,1.11406,0.12331,1.29221,0.40148,CurrentUse
1811,-0.67825,0.63779,0.14143,-0.15487,-0.52745,1.29221,1.2247,CurrentUse
1837,-1.55078,0.96248,1.88511,1.45039,0.25953,1.29221,1.92173,CurrentUse
1839,0.13606,-0.43999,1.43533,-0.30172,-1.13788,1.29221,1.2247,CurrentUse
1855,-0.14882,0.00332,0.58331,-0.30172,-1.5184,1.29221,1.2247,CurrentUse
1876,-0.05188,-1.7625,0.58331,-0.76096,-0.14277,1.29221,1.2247,CurrentUse
1884,0.91093,-1.92173,0.29338,-1.6209,-2.57309,1.29221,1.2247,CurrentUse
82,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,CurrentUse
167,1.49158,-1.23177,0.7233,-2.35413,-1.92173,0.88113,0.07987,CurrentUse
175,1.02119,-0.57545,-2.21069,0.76096,-1.5184,0.88113,0.07987,CurrentUse
193,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,0.88113,0.07987,CurrentUse
207,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,CurrentUse
217,0.22393,1.11406,0.29338,1.45039,-0.00665,0.88113,0.7654,CurrentUse
271,-2.3436,2.127,1.65653,0.76096,0.7583,0.88113,0.40148,CurrentUse
318,0.31287,-0.30033,-1.27553,-0.15487,0.58489,0.88113,0.40148,CurrentUse
343,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637,CurrentUse
350,1.02119,-0.57545,0.88309,1.2861,-0.65253,0.88113,-0.21575,CurrentUse
361,0.62967,0.63779,1.06238,0.94156,1.30612,0.88113,0.40148,CurrentUse
398,-0.79151,0.32197,0.29338,-1.34289,0.93949,0.88113,-0.52593,CurrentUse
410,1.02119,-1.37639,0.44585,0.94156,-1.38502,0.88113,0.40148,CurrentUse
427,0.62967,-0.80615,-0.17779,-1.34289,-0.14277,0.88113,0.07987,CurrentUse
437,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,CurrentUse
454,0.82562,-0.80615,0.7233,-0.76096,-2.57309,0.88113,-0.21575,CurrentUse
455,1.60383,-0.43999,0.29338,-2.21844,-0.65253,0.88113,0.40148,CurrentUse
459,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,CurrentUse
468,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,CurrentUse
493,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,CurrentUse
499,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,CurrentUse
515,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,CurrentUse
527,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,CurrentUse
581,-0.92104,1.58487,0.44585,-0.30172,-0.65253,0.88113,0.7654,CurrentUse
615,0.13606,-0.15487,-0.45174,0.76096,-0.27607,0.88113,1.2247,CurrentUse
621,-0.92104,0.63779,-0.17779,-1.34289,0.25953,0.88113,0.40148,CurrentUse
657,0.62967,0.16767,0.44585,-0.30172,-0.52745,0.88113,0.07987,CurrentUse
680,-1.32828,0.00332,-1.27553,-0.60633,0.12331,0.88113,0.7654,CurrentUse
684,-0.34799,0.16767,0.7233,-0.45321,-0.78155,0.88113,0.40148,CurrentUse
685,1.60383,0.96248,1.43533,-0.30172,-0.89891,0.88113,1.2247,CurrentUse
712,0.52135,0.80523,0.88309,1.81866,-0.00665,0.88113,0.7654,CurrentUse
713,0.73545,1.11406,0.44585,-1.07533,-0.27607,0.88113,1.92173,CurrentUse
719,1.23461,0.80523,0.88309,-0.15487,1.13407,0.88113,0.7654,CurrentUse
733,0.73545,1.11406,1.43533,-1.47955,-1.78169,0.88113,0.7654,CurrentUse
739,-1.32828,0.16767,0.58331,1.2861,-0.65253,0.88113,0.07987,CurrentUse
761,1.13281,0.80523,0.58331,0.94156,-1.5184,0.88113,-0.84637,CurrentUse
776,1.98437,0.00332,2.15324,-0.45321,-0.65253,0.88113,0.7654,CurrentUse
800,-0.46725,0.32197,0.14143,-0.76096,-0.65253,0.88113,1.2247,CurrentUse
806,1.02119,0.80523,1.06238,-1.07533,-0.52745,0.88113,1.2247,CurrentUse
810,1.23461,1.74091,0.88309,-1.92595,-1.64101,0.88113,1.2247,CurrentUse
819,-0.34799,0.32197,-0.17779,-0.15487,0.12331,0.88113,1.2247,CurrentUse
821,-0.05188,0.16767,0.7233,0.28783,-0.40581,0.88113,1.2247,CurrentUse
832,0.04257,0.16767,-0.01928,-0.76096,-0.78155,0.88113,0.7654,CurrentUse
839,0.22393,-1.37639,0.58331,-2.78793,-0.00665,0.88113,1.2247,CurrentUse
856,0.52135,1.2861,-0.17779,0.59042,2.04506,0.88113,1.2247,CurrentUse
858,-1.05308,2.32338,1.06238,-0.15487,0.93949,0.88113,0.7654,CurrentUse
864,-0.14882,1.11406,-0.58331,-0.60633,-0.78155,0.88113,0.07987,CurrentUse
869,0.91093,-0.80615,1.06238,-0.45321,1.13407,0.88113,1.92173,CurrentUse
877,-0.58016,1.45421,0.88309,-0.01729,0.12331,0.88113,0.40148,CurrentUse
885,0.41667,-0.43999,0.14143,-0.30172,-0.00665,0.88113,0.40148,CurrentUse
902,-0.05188,0.96248,-0.01928,0.43852,-0.65253,0.88113,1.2247,CurrentUse
908,0.13606,0.63779,-0.01928,-1.34289,-0.00665,0.88113,0.7654,CurrentUse
936,-0.05188,0.32197,0.58331,0.59042,-0.89891,0.88113,1.2247,CurrentUse
944,-0.67825,-0.30033,-1.11902,-0.76096,-1.5184,0.88113,-0.21575,CurrentUse
947,1.60383,-1.7625,-0.01928,0.13136,-1.5184,0.88113,-0.52593,CurrentUse
960,-0.34799,0.32197,1.88511,0.76096,-1.13788,0.88113,0.40148,CurrentUse
969,0.22393,0.00332,-0.17779,-0.60633,-0.52745,0.88113,0.7654,CurrentUse
980,1.02119,1.11406,-1.11902,-0.91699,-1.0145,0.88113,1.2247,CurrentUse
982,-0.14882,-0.15487,1.24033,0.94156,-0.14277,0.88113,1.92173,CurrentUse
984,0.73545,-0.80615,-0.71727,-0.45321,0.25953,0.88113,0.07987,CurrentUse
988,1.72012,-0.57545,1.65653,0.13136,-0.40581,0.88113,1.2247,CurrentUse
994,-0.79151,0.96248,-0.45174,0.43852,0.7583,0.88113,0.7654,CurrentUse
1015,0.31287,-2.5383,-0.84732,-1.6209,-2.57309,0.88113,0.07987,CurrentUse
1023,0.31287,-1.09207,0.44585,0.59042,-0.65253,0.88113,0.07987,CurrentUse
1039,0.62967,-0.15487,-1.97495,-0.15487,-1.0145,0.88113,0.40148,CurrentUse
1041,1.02119,-0.57545,0.14143,0.94156,-0.52745,0.88113,-0.21575,CurrentUse
1046,-1.43907,2.57309,0.44585,-0.76096,0.58489,0.88113,1.92173,CurrentUse
1048,1.02119,0.47617,1.43533,1.61108,-0.65253,0.88113,0.7654,CurrentUse
1063,-3.15735,0.47617,1.24033,1.11406,-1.13788,0.88113,0.7654,CurrentUse
1066,-1.69163,0.96248,-0.01928,-0.01729,-0.89891,0.88113,0.07987,CurrentUse
1069,0.41667,0.00332,0.29338,-0.60633,0.12331,0.88113,0.07987,CurrentUse
1093,-1.43907,1.74091,-0.84732,-0.60633,0.58489,0.88113,0.40148,CurrentUse
1094,-0.46725,0.96248,0.14143,-0.01729,0.93949,0.88113,-0.21575,CurrentUse
1109,2.46262,-1.50796,-1.82919,0.13136,-1.64101,0.88113,-0.52593,CurrentUse
1118,1.02119,-0.43999,-0.01928,-1.772,-1.0145,0.88113,0.7654,CurrentUse
1127,1.02119,-2.03972,-0.71727,1.11406,-1.25773,0.88113,0.40148,CurrentUse
1163,0.82562,-1.09207,0.44585,-0.60633,1.13407,0.88113,-0.21575,CurrentUse
1166,0.82562,-0.30033,1.43533,-0.76096,-1.0145,0.88113,0.7654,CurrentUse
1170,-0.24649,0.16767,-0.97631,0.59042,0.93949,0.88113,0.40148,CurrentUse
1184,0.82562,-0.30033,0.58331,-0.91699,-0.89891,0.88113,0.7654,CurrentUse
1194,0.91093,-0.43999,-0.01928,-0.45321,-1.64101,0.88113,0.40148,CurrentUse
1206,0.13606,0.00332,0.7233,-2.21844,1.46191,0.88113,1.92173,CurrentUse
